NAMA,KOORDINAT,ALAMAT,KOTA,KECAMATAN,KELURAHAN
"Kedai ""mie ayang"" Mbak Erna","-2.1813936, 119.22863969999999","R69H+5G2, Tinali, Kec. Budong-Budong, Kabupaten Mamuju Tengah, Sulawesi Barat 91563",KAB. MAMUJU TENGAH,Lembah Hopo,Jl. Poros Palu - Mamuju
Rumah Makan Antalili,"-1.998117, 119.323765","282F+QG2, Jl. Poros Majene - Mamuju, Kambunong, Kec. Karossa, Kabupaten Mamuju Tengah, Sulawesi Barat 91563",KAB. MAMUJU TENGAH,Lembah Hopo,Jl. Poros Palu - Mamuju
The Malinan Kei Islands Resto and Cafe,"-5.6462414, 132.73933259999998","Jl. Raya Merdeka, Kel. Ohoijang Watdek, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku",KAB. MALUKU TENGGARA,Ohoidertawun,"JL. Jend Sudirman, Watdek Ohoiyong, Kei Kecil"
Charlie Restaurant,"-5.637468, 132.66223","9M76+2V9, JL. Jend Sudirman, Watdek Ohoiyong, Kei Kecil, Ohoidertawun, Tual, Kabupaten Maluku Tenggara, Maluku 97611",KAB. MALUKU TENGGARA,Ohoidertawun,"JL. Jend Sudirman, Watdek Ohoiyong, Kei Kecil"
Forganza Resto & Cafe,"-5.6575049, 132.7029619","Kelanit, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku",KAB. MALUKU TENGGARA,Ohoidertawun,"JL. Jend Sudirman, Watdek Ohoiyong, Kei Kecil"
CC Cafe,"-5.6576723, 132.7400104","Ohoibun, Jl. Jend. Sudirman, Langgur, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku 90611",KAB. MALUKU TENGGARA,Ohoidertawun,"JL. Jend Sudirman, Watdek Ohoiyong, Kei Kecil"
Kimson Resto,"-5.6474489, 132.7380365","9P3Q+26F, Kel. Ohoijang Watdek, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku",KAB. MALUKU TENGGARA,Ohoidertawun,"JL. Jend Sudirman, Watdek Ohoiyong, Kei Kecil"
WARUNG MBAKZUL,"-5.647638199999999, 132.7378057","9P2Q+W4V, Jl. Raya Merdeka, Kel. Ohoijang Watdek, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku",KAB. MALUKU TENGGARA,Ohoidertawun,"JL. Jend Sudirman, Watdek Ohoiyong, Kei Kecil"
RM MBAK NUR,"-5.646807099999999, 132.7412161","Jl. Jend. Sudirman, Kel. Ohoijang Watdek, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku",KAB. MALUKU TENGGARA,Ohoidertawun,"JL. Jend Sudirman, Watdek Ohoiyong, Kei Kecil"
Sari Minang,"-5.6473512999999995, 132.7413498","Jl. Jend. Sudirman No.26, Kel. Ohoijang Watdek, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku 97611",KAB. MALUKU TENGGARA,Ohoidertawun,"JL. Jend Sudirman, Watdek Ohoiyong, Kei Kecil"
RM.Fahry,"-5.6502053, 132.7337322","8PXM+WF9, Perumnas, Kel. Ohoijang Watdek, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku",KAB. MALUKU TENGGARA,Ohoidertawun,"JL. Jend Sudirman, Watdek Ohoiyong, Kei Kecil"
RM. Eka Seafood 1,"-5.647278699999999, 132.7385496","9P3Q+3CM, Jl. Raya Merdeka, Kel. Ohoijang Watdek, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku",KAB. MALUKU TENGGARA,Ohoidertawun,"JL. Jend Sudirman, Watdek Ohoiyong, Kei Kecil"
Warung Saraba,"-5.6440715, 132.7420128","9P4R+9RC, Jl. Trikora, Kel. Ohoijang Watdek, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku",KAB. MALUKU TENGGARA,Ohoidertawun,"JL. Jend Sudirman, Watdek Ohoiyong, Kei Kecil"
Ayam Gepuk Pak Gembus,"-5.6717249, 132.7374803","8PHQ+C49, Langgur, Kei Kecil, Sotheast Maluku Regency, Maluku",KAB. MALUKU TENGGARA,Ohoidertawun,"JL. Jend Sudirman, Watdek Ohoiyong, Kei Kecil"
Rumah Makan Fair,"-5.646030199999999, 132.7394477","9P3Q+HQP, Kel. Ohoijang Watdek, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku",KAB. MALUKU TENGGARA,Ohoidertawun,"JL. Jend Sudirman, Watdek Ohoiyong, Kei Kecil"
Rumah Makan Lor Nidi,"-5.7761007, 132.7888365","6QFQ+FC, Wain, Sotheast Maluku Regency, Maluku",KAB. MALUKU TENGGARA,Ohoidertawun,"JL. Jend Sudirman, Watdek Ohoiyong, Kei Kecil"
Ten Cafe,"-5.66747, 132.6348318","8JMM+2W8, Ngilngof, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku",KAB. MALUKU TENGGARA,Ohoidertawun,"JL. Jend Sudirman, Watdek Ohoiyong, Kei Kecil"
RUMAH MAKAN MINANG ASLI,"-5.672058799999999, 132.73561709999998","Jl. Kabupaten, Faan, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku",KAB. MALUKU TENGGARA,Ohoidertawun,"JL. Jend Sudirman, Watdek Ohoiyong, Kei Kecil"
Warung Sarilaut Mas Joko,"-5.6493702, 132.7412317","9P2R+7F5, Kel. Ohoijang Watdek, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku",KAB. MALUKU TENGGARA,Ohoidertawun,"JL. Jend Sudirman, Watdek Ohoiyong, Kei Kecil"
Viera Café & Resto,"-5.6625795, 132.6367757","8JPP+XP6, Ohoililir, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku",KAB. MALUKU TENGGARA,Ohoidertawun,"JL. Jend Sudirman, Watdek Ohoiyong, Kei Kecil"
Warung Makan Jawa Timur,"-5.6502764999999995, 132.733174","8PXM+V7M, Kel. Ohoijang Watdek, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku",KAB. MALUKU TENGGARA,Ohoidertawun,"JL. Jend Sudirman, Watdek Ohoiyong, Kei Kecil"
Alim Seafood Restaurant/ Hotel Melia,"0.9322146, 104.4404531","Jl. Pos No.6, Tanjungpinang Kota, Kec. Tj. Pinang Kota, Kota Tanjung Pinang, Kepulauan Riau",KOTA TANJUNG PINANG,Tanjung Pinang Kota,Tanjungpinang Kota
Api Biru Bar & Seafood Restaurant,"0.9249856, 104.4387764","Jl. Hang Tuah, Tanjungpinang Kota, Tanjung Pinang Kota, Tanjung Pinang City, Riau Islands 29111",KOTA TANJUNG PINANG,Tanjung Pinang Kota,Tanjungpinang Kota
Depot Bumi Maitri,"0.9112465, 104.45784859999999","JL. Ir. Sutami, No. 168, Tj. Pinang Timur, Kec. Bukit Bestari, Kota Tanjung Pinang, Kepulauan Riau 29112",KOTA TANJUNG PINANG,Tanjung Pinang Kota,Tanjungpinang Kota
Sweet Resto,"0.9274302999999999, 104.44557909999999","Jl. Bakar Batu No.102 C, Kemboja, Kec. Tanjungpinang Bar., Kota Tanjung Pinang, Kepulauan Riau 29112",KOTA TANJUNG PINANG,Tanjung Pinang Kota,Tanjungpinang Kota
The Manabu Bintan,"0.9259672, 104.4382902","Jl.Hang Tuah No.17 Sadaap, Tepi Laut, Kec. Tj. Pinang Kota, Kota Tanjung Pinang, Kepulauan Riau 29111",KOTA TANJUNG PINANG,Tanjung Pinang Kota,Tanjungpinang Kota
Restaurant Singgah Selalu,"0.9068067, 104.4590635","Jl. Basuki Rahmat, Tj. Ayun Sakti, Kec. Bukit Bestari, Kota Tanjung Pinang, Kepulauan Riau 29113",KOTA TANJUNG PINANG,Tanjung Pinang Kota,Tanjungpinang Kota
Restoran Sei Enam,"0.9143142, 104.43811319999999","Pantai Teluk Keriting, Jl. Usman Harun No.31, Kec. Tanjungpinang Bar., Kota Tanjung Pinang, Kepulauan Riau",KOTA TANJUNG PINANG,Tanjung Pinang Kota,Tanjungpinang Kota
Sam's Anna Seafood,"0.9056742, 104.4451429","Jalan Yos Sudarso Gang, Jl. Jahan II, RT.03/RW.02, Kp. Baru, Kec. Tanjungpinang Bar., Kota Tanjung Pinang, Kepulauan Riau 29112",KOTA TANJUNG PINANG,Tanjung Pinang Kota,Tanjungpinang Kota
Arabian Store Tanjungpinang,"0.9236652, 104.450221","pas seberang Cafe Puncak, Jl. Puncak, Jl. Bukit Cermin atas No.15, Kepulauan Riau 29112",KOTA TANJUNG PINANG,Tanjung Pinang Kota,Tanjungpinang Kota
Sam's Anna Restaurant,"0.9158073999999999, 104.4522739","WF82+8WC, Tj. Pinang Timur, Kec. Bukit Bestari, Kota Tanjung Pinang, Kepulauan Riau 29112",KOTA TANJUNG PINANG,Tanjung Pinang Kota,Tanjungpinang Kota
Rumah Makan Sederhana,"0.927689, 104.4388173","Jl. Hang Tuah Raya No.11, Tanjungpinang Kota, Kec. Tj. Pinang Kota, Kota Tanjung Pinang, Kepulauan Riau 29125",KOTA TANJUNG PINANG,Tanjung Pinang Kota,Tanjungpinang Kota
Dimas Resto,"0.9234083999999999, 104.4717912","Jl. Sultan Sulaiman No.01, RT.01/RW.09, Kampung Bulang, Tanjungpinang Timur, Tanjung Pinang City, Riau Islands 29122",KOTA TANJUNG PINANG,Tanjung Pinang Kota,Tanjungpinang Kota
Fabrica Bar & Eatery,"0.9278164, 104.4531372","WFH3+47C, Rimba Jaya, Jl. Gudang Minyak, Kemboja, Kec. Tanjungpinang Bar., Kota Tanjung Pinang, Kepulauan Riau 29115",KOTA TANJUNG PINANG,Tanjung Pinang Kota,Tanjungpinang Kota
Bata Merah Resto,"0.9092291, 104.4640706","WF57+MJW, Jl. Raja Ali H., Tj. Ayun Sakti, Kec. Bukit Bestari, Kota Tanjung Pinang, Kepulauan Riau 29122",KOTA TANJUNG PINANG,Tanjung Pinang Kota,Tanjungpinang Kota
Surya Indah Seafood Restaurant,"0.8969263, 104.4698852","Jl Seijang N0. 06 Restoran Seafood Surya Indah, Tanjung Pinang City, Riau Islands 29124",KOTA TANJUNG PINANG,Tanjung Pinang Kota,Tanjungpinang Kota
TOMO,"0.9288242999999999, 104.452964","Jl. Gudang Minyak No.133, Rimba Jaya, Kec. Tanjungpinang Bar., Kota Tanjung Pinang, Kepulauan Riau 29112",KOTA TANJUNG PINANG,Tanjung Pinang Kota,Tanjungpinang Kota
Pasta Kangen Tanjung Pinang,"0.9072969, 104.4519345","Jl. Wiratno No.7B, Kp. Baru, Kec. Tanjungpinang Bar., Kota Tanjung Pinang, Kepulauan Riau 29112",KOTA TANJUNG PINANG,Tanjung Pinang Kota,Tanjungpinang Kota
Pondok Ciung Ikan Bakar,"0.9170425999999999, 104.4695369","Jl. Gatot Subroto Km. 5 Bawah, Kampung Bulang, Tanjungpinang Timur, Kp. Bulang, Kec. Tanjungpinang Tim., Kota Tanjung Pinang, Kepulauan Riau 29122",KOTA TANJUNG PINANG,Tanjung Pinang Kota,Tanjungpinang Kota
Ok Bento Tanjungpinang,"0.9117649, 104.4612264","WF66+PF5, Jl. Ir. Sutami, Tanjung Ayun Sakti, Bukit Bestari, Tanjung Pinang City, Riau Islands 29122",KOTA TANJUNG PINANG,Tanjung Pinang Kota,Tanjungpinang Kota
