,ID,NAMA,KOORDINAT,ALAMAT,RATING,JML_RATING,TAG_GOOGLE,KELURAHAN,KECAMATAN,KOTA,PROVINSI,TIPE,IDCARI,DATA_UPDATE
235,236,Partner Bisnis,"-7.6180948, 110.4202802",Jl. Boyong,5.0,33,Konsultan Manajemen Bisnis,HARJOBINANGUN,PAKEM,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,45514,2024-05-29 09:03:47
236,237,POSKO TRC BPBD SLEMAN,"-7.6676057, 110.419178",Jl. Cangkringan No.1,5.0,4,Kantor Akuntan Publik,HARJOBINANGUN,PAKEM,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,45514,2024-05-29 09:03:47
237,238,Agen Aera 81,"-7.656299, 110.4226398","JL. Kaliurang, Km. 19, 4, Pakem",5.0,1,Biro Iklan,HARJOBINANGUN,PAKEM,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,45514,2024-05-29 09:03:47
238,239,klarangan Harjobinangun,"-7.6560963, 110.4140631",8CV7+HJ8,4.7,3,Komplek perumahan,HARJOBINANGUN,PAKEM,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,45514,2024-05-29 09:03:47
239,240,Lion Parcel Ngebel Gede Timur Pesona Merapi,"-7.7266644, 110.3948532",Jl. Kapten Haryadi No.51,5.0,1,Registri perusahaan,HARJOBINANGUN,PAKEM,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,45514,2024-05-29 09:03:47
240,241,Kantor Padukuhan Jetisan,"-7.643496, 110.4200593",9C4C+J23,4.0,9,Kantor Hubungan Masyarakat,HARJOBINANGUN,PAKEM,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,45514,2024-05-29 09:03:47
241,242,PT. Digital Registra Indonesia,"-7.7486302, 110.3741713",Jl. Lempongsari Raya No.39C,4.8,10,Layanan Web Hosting,HARJOBINANGUN,PAKEM,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,45514,2024-05-29 09:03:47
242,243,Kantor Desa Harjobinangun,"-7.668753, 110.4115504",Jalan,4.0,7,Kantor Perusahaan,HARJOBINANGUN,PAKEM,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,45514,2024-05-29 09:03:47
243,244,Mantrijeron,"-7.8176226, 110.3572094","59J4+XV4, Jl. Suryodiningratan 2",5.0,1,Pembangunan Perumahan,SURYODININGRATAN,MANTRIJERON,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,company registry,45667,2024-05-29 09:03:50
244,245,Kantor Pemasaran Sinar Siraman Indah,"-7.971252, 110.586153","2HHP+FFR, Jl. Siraman Pulutan",5.0,3,Agen Pemasaran,SIRAMAN,WONOSARI,KAB. GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,45921,2024-05-29 09:03:53
