ID,PROVINCE,CITY,DISTRICT,WARD,POSTAL_CODE,DATA_UPDATE
1,JAWA TIMUR,KAB. LUMAJANG,TEMPURSARI,KALIULING,67375,
2,SULAWESI SELATAN,KAB. KEPULAUAN SELAYAR,BONTOSIKUYU,LOWA,92855,
3,SULAWESI SELATAN,KOTA MAKASSAR,TAMALATE,MACCINI SOMBALA,90224,
4,JAWA TIMUR,KAB. JOMBANG,KUDU,SUMBERTEGUH,61454,
5,LAMPUNG,KAB. PESISIR BARAT,PESISIR SELATAN,SUKARAME,35985,
6,JAWA TENGAH,KAB. CILACAP,WANAREJA,CIGINTUNG,53265,
7,JAWA TIMUR,KAB. BONDOWOSO,KLABANG,LEPRAK,68284,
8,JAWA TIMUR,KAB. GRESIK,CERME,BETITING,61171,
9,SULAWESI SELATAN,KAB. LUWU UTARA,MALANGKE BARAT,PANGKAJOANG,92957,
10,SUMATERA UTARA,KAB. LABUHANBATU UTARA,KUALUH LEIDONG,TELUK PULAI DALAM,21775,
11,ACEH,KAB. PIDIE,GRONG-GRONG,KARIENG,24154,
12,SUMATERA UTARA,KAB. PADANG LAWAS UTARA,DOLOK,HUTA BARU SIL,22756,
13,JAWA BARAT,KAB. PURWAKARTA,BUNGURSARI,CIBODAS,41182,
14,LAMPUNG,KAB. LAMPUNG TIMUR,BATANGHARI,BUMI HARJO,34381,
15,JAWA TIMUR,KAB. MADIUN,GEGER,PUTAT,63171,
16,PAPUA BARAT DAYA,KAB. PEGUNUNGAN ARFAK,CATUBOUW,IJIGREG,98378,
17,SUMATERA UTARA,KAB. SERDANG BEDAGAI,BINTANG BAYU,UJUNG NEGERI HULU,20983,
18,JAWA TENGAH,KAB. BLORA,BLORA,NGADIPURWO,58219,
19,JAWA TIMUR,KAB. PROBOLINGGO,BANYUANYAR,GUNUNGGENI,67275,
20,JAWA TENGAH,KAB. KEBUMEN,AYAH,KALIPOH,54373,
21,BENGKULU,KAB. KAUR,TANJUNG KEMUNING,PADANG TINGGI,38955,
22,SULAWESI TENGGARA,KOTA BAU BAU,KOKALUKUNA,WARURUMA,93716,
23,JAWA TENGAH,KAB. KEBUMEN,KARANGGAYAM,GIRITIRTO,54365,
24,SUMATERA UTARA,KAB. LANGKAT,WAMPU,GERGAS,20885,
25,JAWA TENGAH,KAB. WONOSOBO,KALIKAJAR,MUNGKUNG,56372,
26,KALIMANTAN TIMUR,KAB. MAHAKAM ULU,LONG HUBUNG,WANA PARIQ,75866,
27,JAWA TIMUR,KAB. TRENGGALEK,PANGGUL,DEPOK,66364,
28,JAWA BARAT,KAB. MAJALENGKA,LEUWIMUNDING,RAJAWANGI,45473,
29,KALIMANTAN TENGAH,KAB. LAMANDAU,MENTHOBI RAYA,BUKIT HARUM,74668,
30,KALIMANTAN BARAT,KAB. MELAWI,MENUKUNG,MENUKUNG KOTA,78682,
31,JAMBI,KAB. TEBO,RIMBO BUJANG,RIMBO MULYO,37553,
32,JAWA TIMUR,KAB. BANYUWANGI,GLAGAH,KAMPUNGANYAR,68454,
33,BENGKULU,KAB. KAUR,KAUR SELATAN,PADANG GENTING,38916,
34,SULAWESI TENGAH,KAB. MOROWALI,BUNGKU TIMUR,KOLONO,94954,
35,SULAWESI UTARA,KAB. MINAHASA TENGGARA,TOULUAAN,RANOKETANG ATAS SATU,95985,
36,SULAWESI SELATAN,KAB. SINJAI,SINJAI SELATAN,PALANGKA,92661,
37,LAMPUNG,KAB. LAMPUNG SELATAN,PALAS,PULAU JAYA,35593,
38,PAPUA PEGUNUNGAN,KAB. YAHUKIMO,SILIMO,SILON,99044,
39,NUSA TENGGARA BARAT,KOTA MATARAM,CAKRANEGARA,CAKRANEGARA SELATAN BARU,83234,
40,PAPUA BARAT DAYA,KAB. TELUK BINTUNI,MANIMERI,BUMI SANIARI,98552,
41,SUMATERA UTARA,KAB. TAPANULI UTARA,SIMANGUMBAN,LOBU SIHIM,22466,
42,JAWA TIMUR,KAB. LAMONGAN,KALITENGAH,KULURAN,62255,
43,ACEH,KAB. ACEH BESAR,SUKAMAKMUR,DILIB BUKIT,23361,
44,LAMPUNG,KAB. LAMPUNG SELATAN,SIDOMULYO,SIRING JAHA,35553,
45,PAPUA SELATAN,KAB. MAPPI,HAJU,OMURO,99881,
46,JAWA TIMUR,KAB. KEDIRI,PAPAR,KEPUH,64153,
47,ACEH,KAB. ACEH SINGKIL,SINGKIL UTARA,KAMPUNG BARU,24787,
48,JAWA BARAT,KAB. INDRAMAYU,JUNTINYUAT,TINUMPUK,45282,
49,KEPULAUAN RIAU,KAB. BINTAN,GUNUNG KIJANG,GUNUNG KIJANG,29153,
50,JAWA TIMUR,KAB. SITUBONDO,BANYUGLUGUR,TELEMPONG,68359,
51,PAPUA PEGUNUNGAN,KAB. YAHUKIMO,OBIO,PUGUN,99048,
52,SUMATERA SELATAN,KOTA PRABUMULIH,PRABUMULIH TIMUR,KARANG JAYA,31115,
53,KALIMANTAN SELATAN,KAB. KOTABARU,KELUMPANG HILIR,TARJUN,72182,
54,JAWA BARAT,KAB. CIAMIS,CIPAKU,JALATRANG,46252,
55,KEPULAUAN RIAU,KAB. KEPULAUAN ANAMBAS,JEMAJA,AIR BIRU,29992,
56,SUMATERA SELATAN,KAB. EMPAT LAWANG,TALANG PADANG,KEMBAHANG LAMA,31853,
57,PAPUA BARAT DAYA,KAB. MANOKWARI SELATAN,DATARAN ISIM,SIBJO,98386,
58,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,LOLAYAN,TAPA AOG,95741,
59,SUMATERA SELATAN,KAB. OGAN KOMERING ULU TIMUR,BELITANG JAYA,KARSA JAYA,32373,
60,JAWA TENGAH,KAB. BREBES,BANTARKAWUNG,CIOMAS,52274,
61,SULAWESI UTARA,KAB. KEPULAUAN SANGIHE,MANGANITU,KARATUNG I,95853,
62,PAPUA PEGUNUNGAN,KAB. JAYAWIJAYA,ASOLOGAIMA,ARABODA,99514,
63,KALIMANTAN TENGAH,KAB. LAMANDAU,BULIK TIMUR,BUKIT JAYA,74667,
64,KALIMANTAN SELATAN,KAB. KOTABARU,PULAU LAUT BARAT,TAPIAN BALAI,72153,
65,ACEH,KAB. BIREUEN,PEUDADA,BLANG MATANG,24262,
66,SULAWESI UTARA,KAB. KEP. SIAU TAGULANDANG BIARO,TAGULANDANG UTARA,WO,95894,
67,SUMATERA SELATAN,KAB. MUSI BANYUASIN,LAWANG WETAN,RANTAU PANJANG,30766,
68,SULAWESI SELATAN,KAB. PINRANG,WATANG SAWITO,SAWITO,91211,
69,GORONTALO,KAB. GORONTALO,TIBAWA,BALAHU,96251,
70,JAWA BARAT,KOTA DEPOK,LIMO,MARUYUNG,16532,
71,JAWA TENGAH,KAB. PURWOREJO,PURWODADI,TEGALAREN,54173,
72,JAWA TIMUR,KAB. JEMBER,JOMBANG,PADOMASAN,68168,
73,SUMATERA SELATAN,KAB. MUSI BANYUASIN,SUNGAI LILIN,SUKA DAMAI BARU,30755,
74,SULAWESI UTARA,KAB. KEPULAUAN SANGIHE,TAHUNA BARAT,PANANEKENG,95851,
75,KALIMANTAN SELATAN,KAB. HULU SUNGAI TENGAH,LABUAN AMAS UTARA,BANUA KUPANG,71362,
76,LAMPUNG,KAB. LAMPUNG SELATAN,PALAS,SUKABAKTI,35593,
77,LAMPUNG,KAB. LAMPUNG TENGAH,SENDANG AGUNG,SENDANG AGUNG,34285,
78,SUMATERA SELATAN,KAB. OGAN KOMERING ILIR,LEMPUING,SUKA MULYA,30675,
79,JAWA TIMUR,KAB. BOJONEGORO,KAPAS,SUKOWATI,62181,
80,JAWA TIMUR,KAB. MAGETAN,NGARIBOYO,SELOTINATAH,63351,
81,SUMATERA UTARA,KAB. TAPANULI SELATAN,BATANG TORU,TELO,22738,
82,JAWA TENGAH,KAB. BLORA,NGAWEN,SARIMULYO,58254,
83,SUMATERA UTARA,KAB. NIAS UTARA,SITOLU ORI,TETEHOSI MAZIAYA,22844,
84,NUSA TENGGARA TIMUR,KAB. FLORES TIMUR,SOLOR TIMUR,LABELEN,86271,
85,BENGKULU,KAB. KEPAHIANG,SEBERANG MUSI,CIREBON BARU,39376,
86,JAWA TIMUR,KAB. PONOROGO,JETIS,JOSARI,63473,
87,NUSA TENGGARA BARAT,KAB. SUMBAWA,ALAS,LUAR,84353,
88,SUMATERA SELATAN,KAB. LAHAT,PAGAR GUNUNG,GERMIDAR ULU,31466,
89,ACEH,KAB. ACEH UTARA,BAKTIYA BARAT,MATANG SIJUEK TEUNGOH,24396,
90,JAWA TENGAH,KAB. BOYOLALI,SELO,SAMIRAN,57363,
91,JAWA BARAT,KAB. SUKABUMI,BOJONGGENTENG,BOJONGGENTENG,43353,
92,SULAWESI UTARA,KAB. MINAHASA UTARA,LIKUPANG TIMUR,SERAWET,95375,
93,DAERAH ISTIMEWA YOGYAKARTA,KAB. GUNUNGKIDUL,PLAYEN,NGUNUT,55861,
94,KALIMANTAN TENGAH,KAB. LAMANDAU,BULIK TIMUR,SUKA MAJU,74667,
95,BANTEN,KAB. LEBAK,WANASALAM,WANASALAM,42396,
96,JAWA TIMUR,KAB. KEDIRI,PAPAR,NGAMPEL,64153,
97,JAMBI,KAB. BATANGHARI,MARO SEBO ULU,SUNGAI RUAN ILIR,36655,
98,JAWA TIMUR,KAB. LUMAJANG,PRONOJIWO,SUPITURANG,67374,
99,KALIMANTAN SELATAN,KAB. KOTABARU,PULAU LAUT TIMUR,BERANGAS,72152,
100,ACEH,KAB. ACEH UTARA,BAKTIYA,MEUNASAH GEUDONG,24392,
101,PAPUA BARAT DAYA,KAB. PEGUNUNGAN ARFAK,TESTEGA,MORUMFEYI,98377,
102,JAWA BARAT,KAB. SUMEDANG,BUAHDUA,MEKARMUKTI,45392,
103,JAWA BARAT,KAB. MAJALENGKA,JATIWANGI,BURUJUL KULON,45454,
104,JAWA BARAT,KAB. GARUT,LELES,SUKARAME,44152,
105,NUSA TENGGARA TIMUR,KAB. MALAKA,MALAKA BARAT,OAN MANE,85763,
106,SUMATERA SELATAN,KAB. OGAN ILIR,RANTAU PANJANG,KOTADARO I,30851,
107,KALIMANTAN TIMUR,KAB. KUTAI KARTANEGARA,MUARA KAMAN,BENUA PUHUN,75553,
108,JAWA TIMUR,KAB. TULUNGAGUNG,PAKEL,NGEBONG,66273,
109,SULAWESI TENGGARA,KAB. KONAWE SELATAN,BAITO,TOLIHE,93852,
110,SULAWESI SELATAN,KAB. PINRANG,CEMPA,TADANG PALIE,91262,
111,KALIMANTAN BARAT,KAB. KAPUAS HULU,KALIS,SEMERANTAU,78756,
112,JAWA TENGAH,KAB. SRAGEN,KEDAWUNG,MOJODOYONG,57292,
113,JAWA TIMUR,KAB. PASURUAN,REMBANG,SUMBERGLAGAH,67152,
114,GORONTALO,KAB. BONE BOLANGO,BULANGO UTARA,TUPA,96561,
115,SUMATERA SELATAN,KAB. OGAN KOMERING ILIR,TANJUNG LUBUK,TANJUNG LAUT,30671,
116,ACEH,KAB. ACEH BESAR,SIMPANG TIGA,ATEUK BLANG ASAN,23365,
117,KALIMANTAN BARAT,KAB. SAMBAS,TEBAS,SEJIRAM,79461,
118,JAWA BARAT,KAB. GARUT,SUKAWENING,MEKARLUYU,44184,
119,SUMATERA SELATAN,KAB. OGAN KOMERING ULU SELATAN,BUANA PEMACA,TANJUNG BERINGIN,32266,
120,KALIMANTAN TENGAH,KAB. LAMANDAU,BATANG KAWA,MENGKALANG,74665,
121,NUSA TENGGARA TIMUR,KAB. FLORES TIMUR,TITEHENA,WATOWARA,86255,
122,PAPUA BARAT DAYA,KAB. MANOKWARI,WARMARE,TANAH MERAH,98352,
123,SUMATERA UTARA,KAB. NIAS,IDANOGAWO,OLADANO,22872,
124,JAWA TIMUR,KAB. GRESIK,DRIYOREJO,TANJUNGAN,61177,
125,MALUKU UTARA,KAB. HALMAHERA SELATAN,PULAU MAKIAN,WAILOA,97941,
126,SULAWESI TENGAH,KAB. MOROWALI UTARA,PETASIA BARAT,MONDOWE,94971,
127,JAWA TENGAH,KAB. PURBALINGGA,BOBOTSARI,GANDASULI,53353,
128,JAWA BARAT,KAB. SUBANG,CISALAK,CIMANGGU,41283,
129,JAWA TIMUR,KAB. PONOROGO,NGRAYUN,BAOSAN LOR,63464,
130,RIAU,KAB. BENGKALIS,BATHIN SOLAPAN,-,-,
131,PAPUA TENGAH,KAB. PANIAI,BOGABAIDA,BOGOBAIDA,98769,
132,JAWA TENGAH,KAB. PURWOREJO,KEMIRI,KROYOLOR,54162,
133,SULAWESI SELATAN,KAB. BANTAENG,BISSAPPU,BONTO LEBANG,92451,
134,SUMATERA SELATAN,KAB. LAHAT,PAGAR GUNUNG,DANAU,31466,
135,SULAWESI BARAT,KAB. POLEWALI MANDAR,POLEWALI,LANTORA,91319,
136,JAWA BARAT,KAB. CIANJUR,CUGENANG,CIBULAKAN,43252,
137,ACEH,KAB. ACEH UTARA,SYAMTALIRA ARON,MEURIA ARON,24381,
138,NUSA TENGGARA BARAT,KAB. SUMBAWA,LOPOK,LOPOK,84388,
139,JAWA BARAT,KAB. BOGOR,CIAMPEA,CIHIDEUNGUDIK,16627,
140,KALIMANTAN SELATAN,KAB. HULU SUNGAI SELATAN,DAHA UTARA,HAMAYUNG UTARA,71253,
141,ACEH,KAB. ACEH TIMUR,DARUL AMAN,TRIENG GADENG,24455,
142,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,LOLAK,BATURAPA II,95755,
143,SUMATERA UTARA,KAB. MANDAILING NATAL,PANYABUNGAN,PIDOLI LOMBANG,22915,
144,SUMATERA UTARA,KAB. TOBA,HABINSARAN,LUMBAN RAU BARAT,22383,
145,SUMATERA SELATAN,KAB. BANYUASIN,RANTAU BAYUR,PAGAR BULAN,30968,
146,NUSA TENGGARA BARAT,KOTA BIMA,RABA,NITU,84139,
147,JAWA BARAT,KAB. MAJALENGKA,KASOKANDEL,GUNUNGSARI,45477,
148,JAWA TENGAH,KAB. SUKOHARJO,BENDOSARI,SUGIHAN,57572,
149,ACEH,KAB. PIDIE,PEUKAN BARO,MEE LAMPOH SAKA,24172,
150,SULAWESI TENGGARA,KAB. BUTON,WOLOWA,MATAWIA,93733,
151,JAWA TENGAH,KAB. PEMALANG,BELIK,KALISALEH,52356,
152,ACEH,KAB. ACEH BARAT,SAMATIGA,SUAK SEUMASEH,23652,
153,ACEH,KAB. PIDIE,SAKTI,CUMBOK LIE,24164,
154,JAWA BARAT,KAB. KUNINGAN,CIAWIGEBANG,KAPANDAYAN,45591,
155,SUMATERA UTARA,KAB. SIMALUNGUN,BANDAR MASILAM,BANDAR REJO,21185,
156,JAWA TENGAH,KAB. PURWOREJO,BRUNO,TEGALSARI,54161,
157,SULAWESI TENGAH,KAB. MOROWALI UTARA,MORI ATAS,SAEMBA WALATI,94965,
158,JAWA TENGAH,KAB. SRAGEN,SUMBERLAWANG,PENDEM,57272,
159,SUMATERA UTARA,KAB. SERDANG BEDAGAI,TELUK MENGKUDU,MAKMUR,20997,
160,JAWA TENGAH,KAB. TEGAL,BUMIJAWA,GUNUNGAGUNG,52466,
161,SULAWESI TENGAH,KAB. BANGGAI,PAGIMANA,PINAPUAN,94752,
162,JAWA TIMUR,KAB. LAMONGAN,GLAGAH,RAYUNGGUMUK,62292,
163,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,PASSI TIMUR,INSIL,95758,
164,JAWA TIMUR,KAB. BOJONEGORO,PURWOSARI,DONAN,62161,
165,JAWA TIMUR,KAB. PROBOLINGGO,MARON,SATREYAN,67276,
166,MALUKU UTARA,KAB. KEPULAUAN SULA,SANANA,WAI IPA,97995,
167,JAWA TIMUR,KAB. NGAWI,BRINGIN,SURUH,63285,
168,SUMATERA SELATAN,KAB. OGAN KOMERING ILIR,CENGAL,SUNGAI KETUPAK,30658,
169,JAWA BARAT,KAB. INDRAMAYU,SLIYEG,SLEMAN,45281,
170,PAPUA BARAT DAYA,KAB. FAK FAK,FAK-FAK,LUSI PERI,98651,
171,BANTEN,KAB. SERANG,TUNJUNG TEJA,PANCAREGANG,42174,
172,NUSA TENGGARA TIMUR,KAB. TIMOR TENGAH UTARA,MIOMAFO BARAT,NOEPESU,85661,
173,JAWA BARAT,KAB. BEKASI,BABELAN,KEDUNG PENGAWAS,17614,
174,NUSA TENGGARA TIMUR,KAB. KUPANG,FATULEU,OEBOLA,85363,
175,ACEH,KAB. ACEH BARAT DAYA,SETIA,ALUE DAMA,23742,
176,SUMATERA UTARA,KAB. MANDAILING NATAL,BATANG NATAL,RAO RAO,22983,
177,JAWA TIMUR,KAB. TULUNGAGUNG,KALIDAWIR,BANYUURIP,66281,
178,KEPULAUAN RIAU,KAB. BINTAN,TELUK BINTAN,PANGKIL,29136,
179,JAWA BARAT,KAB. GARUT,CISURUPAN,TAMBAKBAYA,44163,
180,BANTEN,KAB. PANDEGLANG,ANGSANA,KRAMATMANIK,42277,
181,JAWA BARAT,KAB. CIANJUR,CAMPAKA,KARYAMUKTI,43263,
182,ACEH,KAB. ACEH UTARA,MEURAH MULIA,KEUDE KARIENG,24372,
183,SUMATERA UTARA,KAB. TAPANULI TENGAH,BADIRI,LUBUK AMPOLU,22657,
184,BANTEN,KAB. TANGERANG,KOSAMBI,KOSAMBI BARAT,15213,
185,JAWA TIMUR,KAB. TUBAN,PARENGAN,MARGOREJO,62366,
186,LAMPUNG,KAB. LAMPUNG SELATAN,PENENGAHAN,TAMAN BARU,35591,
187,BANTEN,KAB. SERANG,CINANGKA,UMBUL TANJUNG,42167,
188,JAWA BARAT,KAB. KUNINGAN,LURAGUNG,GUNUNGKARUNG,45581,
189,KALIMANTAN BARAT,KAB. SANGGAU,KAPUAS,TAPANG DULANG,78519,
190,ACEH,KAB. BENER MERIAH,BANDAR,SIDODADI,24582,
191,PAPUA TENGAH,KAB. PANIAI,TOPIYAI,-,-,
192,JAWA TIMUR,KAB. NGANJUK,GONDANG,NGLINGGO,64451,
193,SULAWESI UTARA,KAB. MINAHASA UTARA,LIKUPANG BARAT,TALISE,95378,
194,SULAWESI UTARA,KAB. MINAHASA UTARA,KAUDITAN,KAUDITAN II,95372,
195,NUSA TENGGARA TIMUR,KAB. SUMBA TIMUR,NGADU NGALA,PRAURAMING,87173,
196,KALIMANTAN SELATAN,KAB. BALANGAN,LAMPIHONG,LOK PANGINANGAN,71661,
197,JAWA TENGAH,KAB. DEMAK,SAYUNG,SAYUNG,59563,
198,MALUKU UTARA,KAB. HALMAHERA TENGAH,PATANI UTARA,BILIFITU,97859,
199,JAWA TIMUR,KAB. KEDIRI,SEMEN,SELOPANGGUNG,64161,
200,JAWA BARAT,KOTA BANDUNG,CIBEUNYING KALER,CIGADUNG,40123,
201,JAWA BARAT,KAB. BANDUNG BARAT,CILILIN,BONGAS,40762,
202,KALIMANTAN SELATAN,KAB. KOTABARU,KELUMPANG TENGAH,SUNGAI PINANG,72164,
203,BANTEN,KAB. LEBAK,BOJONGMANIK,KADURAHAYU,42363,
204,JAWA TENGAH,KAB. BREBES,WANASARI,LENGKONG,52252,
205,KALIMANTAN SELATAN,KAB. BANJAR,SAMBUNG MAKMUR,MADUREJO,70678,
206,SUMATERA SELATAN,KAB. EMPAT LAWANG,TALANG PADANG,REMANTAI,31853,
207,KEPULAUAN BANGKA BELITUNG,KAB. BANGKA TENGAH,SIMPANG KATIS,SUNGKAP,33674,
208,KEPULAUAN BANGKA BELITUNG,KAB. BANGKA SELATAN,PAYUNG,SENGIR,33778,
209,JAWA TENGAH,KAB. PATI,MARGOYOSO,KAJEN,59154,
210,ACEH,KAB. ACEH BESAR,PEUKAN BADA,LAMGURON,23351,
211,MALUKU,KAB. SERAM BAGIAN TIMUR,TUTUK TOLU,DANAMA,97586,
212,JAWA TENGAH,KAB. SUKOHARJO,BAKI,NGROMBO,57556,
213,RIAU,KOTA PEKANBARU,SENAPELAN,PADANG BULAN,28156,
214,BENGKULU,KAB. REJANG LEBONG,CURUP UTARA,BATU DEWA,39141,
215,PAPUA PEGUNUNGAN,KAB. TOLIKARA,DOW,DAGARI,99443,
216,BENGKULU,KAB. KAUR,PADANG GUCI HILIR,GUNUNG KAYA,38957,
217,BANTEN,KOTA SERANG,KASEMEN,KASEMEN,42141,
218,BANTEN,KAB. LEBAK,BANJARSARI,KUMPAY,42355,
219,NUSA TENGGARA TIMUR,KAB. ENDE,DETUKELI,MAUROLE SELATAN,86377,
220,SUMATERA UTARA,KAB. PADANG LAWAS UTARA,PADANG BOLAK JULU,AEK BARGOT,22781,
221,JAWA BARAT,KAB. SUBANG,PUSAKAJAYA,CIGUGUR,41266,
222,SULAWESI SELATAN,KAB. SIDENRENG RAPPANG,PITU RIAWA,BETAO,91683,
223,JAWA TENGAH,KAB. PATI,JAKEN,MANTINGAN,59184,
224,JAWA BARAT,KOTA BANDUNG,CIBIRU,PASIR BIRU,40299,
225,BANTEN,KOTA TANGERANG,KARAWACI,BUGEL,15113,
226,RIAU,KOTA PEKANBARU,PAYUNG SEKAKI,LABUH BARU BARAT,28233,
227,MALUKU,KAB. MALUKU TENGAH,AMAHAI,HOLLO,97552,
228,PAPUA BARAT DAYA,KAB. MANOKWARI,MANOKWARI UTARA,INYA,98316,
229,JAWA TENGAH,KAB. TEMANGGUNG,BANSARI,PURBOREJO,56265,
230,JAWA TENGAH,KAB. BANJARNEGARA,BAWANG,WINONG,53471,
231,KEPULAUAN BANGKA BELITUNG,KAB. BANGKA BARAT,TEMPILANG,BUYAN KELUMBI,33365,
232,JAWA TENGAH,KAB. BREBES,SALEM,BANJARAN,52275,
233,JAWA TENGAH,KAB. KENDAL,KALIWUNGU,KARANGTENGAH,51372,
234,JAWA BARAT,KAB. BANDUNG,RANCAEKEK,HAURPUGUR,40394,
235,JAWA TENGAH,KAB. TEGAL,DUKUHTURI,KADEMANGARAN,52492,
236,MALUKU,KAB. BURU,FENA LEISELA,WAEKOSE,97373,
237,JAWA BARAT,KAB. CIANJUR,LELES,SUKAMULYA,43277,
238,JAWA BARAT,KOTA SUKABUMI,CIKOLE,CISARUA,43115,
239,KALIMANTAN BARAT,KAB. KAPUAS HULU,SILAT HULU,SELIMU,78774,
240,SUMATERA SELATAN,KAB. OGAN KOMERING ULU,LUBUK BATANG,LUBUK BATANG BARU,32192,
241,ACEH,KAB. ACEH UTARA,MEURAH MULIA,UJUNG KUTA BATEE,24372,
242,NUSA TENGGARA BARAT,KAB. BIMA,LANGGUDU,WAWORADA,84175,
243,JAWA TENGAH,KAB. PURWOREJO,NGOMBOL,CANDI,54172,
244,SUMATERA UTARA,KAB. LABUHANBATU UTARA,NA IX - X,BATU TUNGGAL,21754,
245,PAPUA PEGUNUNGAN,KAB. TOLIKARA,WAKUWO,WEYAGE,99446,
246,JAWA TIMUR,KAB. LAMONGAN,MANTUP,KEDUKBEMBEM,62283,
247,KALIMANTAN SELATAN,KAB. BARITO KUALA,MANDASTANA,TATAH ALAYUNG,70581,
248,SULAWESI TENGAH,KAB. BANGGAI,BUALEMO,SAMPAKA,94774,
249,JAWA BARAT,KAB. TASIKMALAYA,SUKARESIK,SUKARATU,46459,
250,JAWA TIMUR,KAB. TRENGGALEK,PULE,SUKOKIDUL,66362,
251,JAMBI,KAB. KERINCI,GUNUNG TUJUH,LUBUK PAUH,37164,
252,NUSA TENGGARA BARAT,KAB. BIMA,WOHA,TALABIU,84171,
253,SULAWESI TENGAH,KAB. BANGGAI KEPULAUAN,PELING TENGAH,POPISI,94886,
254,KALIMANTAN SELATAN,KAB. HULU SUNGAI TENGAH,BARABAI,BARABAI DARAT,71315,
255,SUMATERA UTARA,KAB. PAKPAK BHARAT,SALAK,BOANGMANALU,22272,
256,JAWA TENGAH,KAB. KUDUS,UNDAAN,SAMBUNG,59372,
257,KALIMANTAN BARAT,KAB. SANGGAU,TAYAN HILIR,KAWAT,78564,
258,SUMATERA SELATAN,KAB. OGAN KOMERING ULU,LUBUK BATANG,LUBUK BATANG LAMA,32192,
259,NUSA TENGGARA BARAT,KAB. BIMA,PARADO,KANCA,84176,
260,JAWA TIMUR,KAB. JOMBANG,KESAMBEN,PODOROTO,61484,
261,SULAWESI TENGAH,KAB. BUOL,BOKAT,POONGAN,94566,
262,JAWA TENGAH,KAB. WONOGIRI,KISMANTORO,NGROTO,57696,
263,NUSA TENGGARA TIMUR,KAB. MALAKA,BOTIN LEOBELE,TAKARAI,85767,
264,ACEH,KAB. ACEH TIMUR,IDI RAYEUK,GAMPONG JALAN,24454,
265,JAWA TENGAH,KAB. BREBES,PAGUYANGAN,WANATIRTA,52276,
266,JAWA BARAT,KAB. BOGOR,MEGAMENDUNG,SUKAMAHI,16774,
267,JAWA TIMUR,KAB. TUBAN,JENU,SUGIHWARAS,62352,
268,ACEH,KAB. ACEH TIMUR,PEUREULAK,BUKET PALA,24453,
269,NUSA TENGGARA TIMUR,KAB. NAGEKEO,KEO TENGAH,KOTOWUJI BARAT,86965,
270,LAMPUNG,KAB. WAY KANAN,BARADATU,CUGAH,34761,
271,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,POIGAR,NONAPAN II,95753,
272,NUSA TENGGARA TIMUR,KAB. NAGEKEO,WOLOWAE,NATATOTO,86966,
273,KALIMANTAN SELATAN,KAB. TANAH BUMBU,KUSAN HULU,WONOREJO,72272,
274,SULAWESI UTARA,KAB. MINAHASA UTARA,LIKUPANG TIMUR,LIKUPANG I,95375,
275,SUMATERA SELATAN,KAB. LAHAT,GUMAY TALANG,MUARA TANDI,31451,
276,JAWA TENGAH,KAB. GROBOGAN,KARANGRAYUNG,PUTATNGANTEN,58163,
277,ACEH,KAB. ACEH BESAR,PULO ACEH,BLANG SITUNGKOH,23391,
278,BENGKULU,KAB. REJANG LEBONG,CURUP,AIR RAMBAI,39111,
279,MALUKU,KAB. KEPULAUAN TANIMBAR,TANIMBAR SELATAN,KABIARAT,97465,
280,RIAU,KAB. PELALAWAN,PANGKALAN LESUNG,SARI MAKMUR,28387,
281,KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,BUKITINTAN,AIR MAWAR,33148,
282,PAPUA PEGUNUNGAN,KAB. TOLIKARA,KAI,KURBAYA,99455,
283,JAMBI,KAB. MUARO JAMBI,KUMPEH ULU,KASANG KUMPEH,36373,
284,KALIMANTAN SELATAN,KOTA BANJARMASIN,BANJARMASIN SELATAN,TANJUNG PAGAR,70247,
285,JAWA TENGAH,KAB. KEBUMEN,KEBUMEN,GESIKAN,54319,
286,BANTEN,KOTA SERANG,SERANG,SUMUR PECUNG,42118,
287,JAWA TENGAH,KAB. TEGAL,LEBAKSIU,PENDAWA,52461,
288,JAWA TENGAH,KAB. PURWOREJO,LOANO,GUYANGAN,54181,
289,RIAU,KAB. INDRAGIRI HULU,SUNGAI LALA,PASIR BONGKAL,29359,
290,JAWA BARAT,KOTA BEKASI,BEKASI UTARA,PERWIRA,17122,
291,SULAWESI TENGAH,KAB. MOROWALI UTARA,BUNGKU UTARA,WOOMPARIGI,94962,
292,ACEH,KAB. ACEH UTARA,TANAH LUAS,ALUE KEUJRUEN,24385,
293,DAERAH ISTIMEWA YOGYAKARTA,KAB. GUNUNGKIDUL,SEMANU,CANDIREJO,55893,
294,JAWA BARAT,KAB. PANGANDARAN,PARIGI,CINTARATU,46519,
295,SULAWESI TENGGARA,KAB. BUTON,SIOTAPINA,MANURU,93734,
296,PAPUA TENGAH,KAB. PUNCAK JAYA,ILU,LAMBO,98975,
297,JAMBI,KAB. SAROLANGUN,BATANG ASAI,KASIRO HILIR,37485,
298,JAWA BARAT,KAB. BANDUNG,BANJARAN,CIAPUS,40377,
299,JAWA TIMUR,KAB. BLITAR,SRENGAT,SELOKAJANG,66152,
300,KALIMANTAN SELATAN,KAB. BANJAR,GAMBUT,BANYU HIRANG,70652,
