ID,PROVINCE,CITY,DISTRICT,WARD,POSTAL_CODE,DATA_UPDATE
54488,JAWA TENGAH,KAB. BANYUMAS,SOMAGEDE,SOMAGEDE,53193,
54489,ACEH,KAB. ACEH BESAR,LHOKNGA,LAMGABOH,23353,
54490,BALI,KAB. BULELENG,KUBUTAMBAHAN,BULIAN,81172,
54491,ACEH,KAB. GAYO LUES,PANTAN CUACA,KENYARAN,24659,
54492,JAWA BARAT,KAB. CIREBON,KLANGENAN,JEMARAS KIDUL,45656,
54493,SUMATERA UTARA,KAB. TAPANULI SELATAN,SIPIROK,PARAN PADANG,22742,
54494,JAWA TIMUR,KAB. JOMBANG,KUDU,MADE,61454,
54495,RIAU,KAB. INDRAGIRI HULU,RAKIT KULIM,KUANTAN TENANG,29372,
54496,SUMATERA UTARA,KAB. ASAHAN,TELUK DALAM,PULAU TANJUNG,21277,
54497,SUMATERA UTARA,KAB. LANGKAT,SECANGGANG,KEPALA SUNGAI,20855,
54498,BANTEN,KAB. TANGERANG,CIKUPA,BUDI MULYA,15718,
54499,JAWA TIMUR,KAB. BONDOWOSO,BINAKAL,KEMBANGAN,68254,
54500,NUSA TENGGARA BARAT,KAB. BIMA,PALIBELO,DORE,84174,
54501,KALIMANTAN BARAT,KAB. KAPUAS HULU,EMBALOH HULU,BATU LINTANG,78755,
54502,PAPUA PEGUNUNGAN,KAB. TOLIKARA,KARUBAGA,KULONAME,99411,
54503,SULAWESI UTARA,KAB. MINAHASA TENGGARA,PASAN,TOLOMBUKAN,95982,
54504,RIAU,KAB. KUANTAN SINGINGI,CERENTI,KOTO PERAKU,29555,
54505,PAPUA BARAT DAYA,KAB. MANOKWARI,MANOKWARI BARAT,SORIBO,98311,
54506,JAWA TIMUR,KAB. LAMONGAN,LAMONGAN,KEBET,62219,
54507,JAWA TIMUR,KAB. SIDOARJO,TANGGULANGIN,KALIDAWIR,61272,
54508,JAWA BARAT,KAB. BOGOR,CIAWI,TELUK PINANG,16722,
54509,ACEH,KAB. BENER MERIAH,SYIAH UTAMA,GONENG,24585,
54510,NUSA TENGGARA TIMUR,KAB. MANGGARAI,WAE RII,BANGKA KENDA,86595,
54511,JAWA TIMUR,KOTA MALANG,KEDUNGKANDANG,WONOKOYO,65135,
54512,JAWA BARAT,KAB. SUMEDANG,BUAHDUA,KARANGBUNGUR,45392,
54513,JAWA TENGAH,KAB. REMBANG,SUMBER,SUKOREJO,59253,
54514,ACEH,KAB. ACEH BESAR,BLANG BINTANG,COT MEULANGEUN,23368,
54515,SULAWESI UTARA,KOTA TOMOHON,TOMOHON SELATAN,ULUINDANO,95438,
54516,JAMBI,KAB. MUARO JAMBI,SEKERNAN,KEDOTAN,36319,
54517,JAWA TIMUR,KAB. PASURUAN,KRATON,BENDUNGAN,67151,
54518,PAPUA SELATAN,KAB. MERAUKE,MUTING,ENGGOL JAYA,99652,
54519,JAWA TENGAH,KAB. BATANG,TERSONO,HARJOWINANGUN TIMUR,51272,
54520,KALIMANTAN TENGAH,KAB. SERUYAN,SERUYAN HULU,TUSUK BELAWAN,74291,
54521,ACEH,KAB. ACEH JAYA,SETIA BHAKTI,SAWANG,23655,
54522,KALIMANTAN SELATAN,KAB. BARITO KUALA,TABUNGANEN,SUNGAI TERAS DALAM,70567,
54523,PAPUA SELATAN,KAB. ASMAT,SUATOR,JINAK,99766,
54524,JAWA TIMUR,KOTA SURABAYA,SIMOKERTO,TAMBAKREJO,60142,
54525,JAWA BARAT,KAB. MAJALENGKA,LIGUNG,KODASARI,45456,
54526,SUMATERA UTARA,KAB. SAMOSIR,ONAN RUNGGU,SILIMA LOMBU,22398,
54527,JAWA TIMUR,KAB. SITUBONDO,BUNGATAN,PASIR PUTIH,68358,
54528,JAWA BARAT,KAB. PURWAKARTA,PURWAKARTA,PURWAMEKAR,41119,
54529,JAWA BARAT,KAB. SUMEDANG,RANCAKALONG,RANCAKALONG,45361,
54530,SUMATERA UTARA,KAB. LABUHANBATU,PANAI HILIR,SEI PENGGANTUNGAN,21473,
54531,LAMPUNG,KAB. LAMPUNG TENGAH,BEKRI,KESUMA JAYA,34277,
54532,JAWA TIMUR,KAB. MADIUN,MADIUN,TIRON,63151,
54533,PAPUA,KOTA JAYAPURA,MUARA TAMI,SKOUW MABO,99153,
54534,JAWA TIMUR,KAB. MALANG,JABUNG,ARGOSARI,65155,
54535,JAWA TIMUR,KOTA SURABAYA,SEMAMPIR,WONOKUSUMO,60154,
54536,SULAWESI SELATAN,KAB. LUWU TIMUR,BURAU,BONE PUTE,92975,
54537,DKI JAKARTA,KOTA ADM. JAKARTA BARAT,TAMAN SARI,GLODOK,11120,
54538,JAWA TENGAH,KAB. GROBOGAN,PURWODADI,KEDUNGREJO,58119,
54539,RIAU,KAB. KEPULAUAN MERANTI,MERBAU,TANJUNG KULIM,28797,
54540,KALIMANTAN SELATAN,KAB. TANAH LAUT,KURAU,KURAU,70853,
54541,SULAWESI TENGAH,KAB. TOJO UNA UNA,WALEA KEPULAUAN,KOLAMI,94692,
54542,SULAWESI BARAT,KAB. MAMASA,MAMASA,TAUPE,91362,
54543,KALIMANTAN TENGAH,KAB. KATINGAN,KATINGAN HULU,TUMBANG KUAI,74457,
54544,JAWA BARAT,KOTA BANDUNG,ARCAMANIK,SUKAMISKIN,40293,
54545,JAWA TENGAH,KAB. JEPARA,KALINYAMATAN,BAKALAN,59467,
54546,JAWA TENGAH,KAB. BANYUMAS,KEBASEN,KALIWEDI,53172,
54547,JAWA TIMUR,KAB. KEDIRI,MOJO,PLOSO,64162,
54548,JAWA TENGAH,KAB. BANYUMAS,JATILAWANG,ADISARA,53174,
54549,JAWA TIMUR,KAB. SUMENEP,RUBARU,RUBARU,69456,
54550,SUMATERA UTARA,KAB. LANGKAT,WAMPU,BINGAI,20885,
54551,SUMATERA UTARA,KAB. TOBA,ULUAN,SIGAOL BARAT,22385,
54552,JAWA BARAT,KOTA DEPOK,CILODONG,SUKAMAJU,16475,
54553,LAMPUNG,KAB. LAMPUNG SELATAN,KATIBUNG,TRANS TANJUNGAN,35552,
54554,SUMATERA BARAT,KAB. TANAH DATAR,SUNGAYANG,-,-,
54555,RIAU,KAB. INDRAGIRI HILIR,GAUNG ANAK SERKA,SUNGAIILIRAN,29253,
54556,JAWA TENGAH,KAB. SUKOHARJO,WERU,NGRECO,57562,
54557,NUSA TENGGARA TIMUR,KAB. ENDE,WOLOWARU,WOLOSOKO,86372,
54558,PAPUA SELATAN,KAB. ASMAT,PANTAI KASUARI,HAINAM,99773,
54559,LAMPUNG,KAB. TULANG BAWANG,GEDUNG MENENG,GEDUNG MENENG BARU,34677,
54560,JAMBI,KAB. MUARO JAMBI,SUNGAI GELAM,PARIT,36374,
54561,JAWA BARAT,KAB. MAJALENGKA,MAJA,CIHAUR,45461,
54562,KALIMANTAN BARAT,KAB. KAPUAS HULU,PUTUSSIBAU UTARA,PADUA MENDALAM,78719,
54563,JAWA TIMUR,KAB. BOJONEGORO,KALITIDU,PILANGSARI,62152,
54564,SUMATERA UTARA,KAB. LANGKAT,SECANGGANG,TELUK,20855,
54565,SULAWESI SELATAN,KAB. SIDENRENG RAPPANG,BARANTI,DUAMPANUA,91652,
54566,KALIMANTAN SELATAN,KAB. HULU SUNGAI SELATAN,PADANG BATUNG,KALIRING,71281,
54567,KEPULAUAN BANGKA BELITUNG,KAB. BELITUNG TIMUR,GANTUNG,LIMBONGAN,33563,
54568,SULAWESI TENGGARA,KAB. KONAWE,UEPAI,LANGGOMEA,93462,
54569,BALI,KAB. BANGLI,KINTAMANI,TERUNYAN,80652,
54570,BANTEN,KAB. TANGERANG,SEPATAN TIMUR,SANGIANG,15588,
54571,ACEH,KAB. ACEH TAMIANG,MANYAK PAYED,PAYA BARU,24471,
54572,KALIMANTAN TIMUR,KAB. KUTAI TIMUR,RANTAU PULUNG,MANUNGGAL JAYA,75652,
54573,JAWA BARAT,KAB. CIANJUR,CIDAUN,PUNCAKBARU,43275,
54574,NUSA TENGGARA BARAT,KAB. LOMBOK BARAT,NARMADA,LEMBUAK,83371,
54575,SULAWESI UTARA,KOTA MANADO,SINGKIL,KARAME,95231,
54576,JAWA TIMUR,KAB. PONOROGO,BALONG,KARANGPATIHAN,63461,
54577,JAWA TENGAH,KAB. BANJARNEGARA,KARANGKOBAR,LEKSANA,53453,
54578,KALIMANTAN TENGAH,KAB. KOTAWARINGIN TIMUR,MENTAYA HILIR UTARA,BAGENDANG HILIR,74361,
54579,SUMATERA UTARA,KOTA MEDAN,MEDAN MAIMUN,SEI MATI,20159,
54580,JAWA TIMUR,KAB. SIDOARJO,TARIK,KEDINDING,61265,
54581,MALUKU,KAB. BURU SELATAN,AMBALAU,KAMPUNG BARU,97361,
54582,SUMATERA UTARA,KAB. DELI SERDANG,HAMPARAN PERAK,SIALANG MUDA,20374,
54583,JAWA BARAT,KAB. BOGOR,MEGAMENDUNG,PASIR ANGIN,16772,
54584,SULAWESI UTARA,KAB. MINAHASA,LANGOWAN BARAT,KOPIWANGKER,95642,
54585,JAWA TIMUR,KAB. JOMBANG,SUMOBITO,SEGODOREJO,61483,
54586,SUMATERA UTARA,KAB. DELI SERDANG,GALANG,KERAMAT GAJAH,20585,
54587,NUSA TENGGARA BARAT,KAB. LOMBOK BARAT,GERUNG,BABUSSALAM,83311,
54588,RIAU,KAB. INDRAGIRI HULU,KELAYANG,PULAU SENGKILO,29357,
54589,ACEH,KAB. ACEH SELATAN,TAPAKTUAN,BATU ITAM,23719,
54590,JAWA BARAT,KAB. SUBANG,PAGADEN,PAGEDAN,41252,
54591,JAWA TENGAH,KAB. BATANG,TERSONO,PLOSOWANGI,51272,
54592,NUSA TENGGARA TIMUR,KAB. NGADA,BAJAWA,UBEDOLUMOLO SATU,86419,
54593,SULAWESI TENGAH,KOTA PALU,ULUJADI,BULURI,94228,
54594,KALIMANTAN BARAT,KAB. KETAPANG,SUNGAI LAUR,TELUK MUTIARA,78872,
54595,BALI,KAB. KARANGASEM,BEBANDEM,BUNGAYA KANGIN,80861,
54596,JAWA BARAT,KAB. SUKABUMI,PARUNGKUDA,SUNDAWENANG,43357,
54597,JAWA BARAT,KAB. CIANJUR,CIANJUR,NAGRAK,43219,
54598,SULAWESI SELATAN,KAB. TAKALAR,POLOMBANGKENG SELATAN,CAKURA,92258,
54599,PAPUA BARAT DAYA,KOTA SORONG,SORONG KEPULAUAN,-,-,
54600,MALUKU UTARA,KAB. HALMAHERA BARAT,JAILOLO,SOAKONORA,97752,
54601,ACEH,KAB. ACEH TAMIANG,SERUWAY,TANGSI LAMA,24473,
54602,JAWA TIMUR,KAB. BLITAR,BAKUNG,BAKUNG,66163,
54603,JAWA TENGAH,KAB. BREBES,BANJARHARJO,CIMUNDING,52265,
54604,JAWA TENGAH,KOTA TEGAL,MARGADANA,SUMURPANGGANG,52141,
54605,PAPUA BARAT DAYA,KAB. KAIMANA,KAIMANA,MARSI,98671,
54606,JAWA BARAT,KAB. CIAMIS,PANAWANGAN,NAGARAPAGEUH,46255,
54607,MALUKU UTARA,KAB. HALMAHERA BARAT,IBU,GAMLAMO,97754,
54608,BENGKULU,KAB. BENGKULU TENGAH,TABA PENANJUNG,PENUM,38386,
54609,JAWA TIMUR,KAB. NGAWI,KARANGJATI,SIDOKERTO,63284,
54610,JAWA BARAT,KAB. CIANJUR,CIKADU,MEKARWANGI,43276,
54611,JAWA TIMUR,KAB. MOJOKERTO,SOOKO,KEDUNGMALING,61361,
54612,ACEH,KAB. ACEH JAYA,KRUENG SABEE,MON MATA,23654,
54613,JAWA TENGAH,KAB. BATANG,WONOTUNGGAL,DRINGO,51253,
54614,ACEH,KAB. BIREUEN,MAKMUR,ULEE GLEE,24255,
54615,MALUKU,KAB. MALUKU TENGAH,LEIHITU,NEGERI LIMA,97543,
54616,PAPUA TENGAH,KAB. NABIRE,YARO,ORORODO,98859,
54617,JAWA BARAT,KAB. INDRAMAYU,TRISI,CIBERENG,45267,
54618,ACEH,KAB. PIDIE,GRONG-GRONG,BEUREULEUNG,24154,
54619,ACEH,KAB. ACEH BESAR,DARUSSALAM,GAMPONG BLANG,23373,
54620,SULAWESI SELATAN,KAB. PANGKAJENE KEPULAUAN,MARANG,PITUSUNGGU,90654,
54621,SUMATERA SELATAN,KAB. OGAN KOMERING ILIR,AIR SUGIHAN,MUKTI JAYA,30656,
54622,JAWA TENGAH,KAB. SRAGEN,KARANGMALANG,KROYO,57291,
54623,KALIMANTAN TENGAH,KAB. BARITO UTARA,MONTALLAT,PEPAS,73861,
54624,SUMATERA UTARA,KAB. NIAS UTARA,SAWO,SIFAHANDRO,22845,
54625,JAWA BARAT,KAB. KUNINGAN,DARMA,SUKARASA,45562,
54626,JAWA TIMUR,KAB. SUMENEP,PRAGAAN,JADDUNG,69465,
54627,LAMPUNG,KAB. TULANG BAWANG BARAT,LAMBU KIBANG,MEKAR SARI JAYA,34486,
54628,JAWA BARAT,KAB. PURWAKARTA,JATILUHUR,CIBINONG,41152,
54629,SULAWESI BARAT,KAB. POLEWALI MANDAR,MAPILLI,LANDI KANUSUANG,91345,
54630,ACEH,KAB. ACEH TENGGARA,DARUL HASANAH,LAWE PINIS,24665,
54631,ACEH,KAB. PIDIE,PIDIE,LAM KUTA,24151,
54632,ACEH,KAB. ACEH JAYA,JAYA,JAMBO MASI,23657,
54633,BANTEN,KAB. PANDEGLANG,CIPEUCANG,CURUGBARANG,42272,
54634,JAWA BARAT,KAB. CIREBON,TENGAH TANI,BATTEMBAT,45642,
54635,RIAU,KAB. ROKAN HILIR,BATU HAMPAR,BANTAIAN,28954,
54636,JAWA TIMUR,KAB. BOJONEGORO,TAMBAKREJO,MULYOREJO,62166,
54637,SULAWESI UTARA,KAB. MINAHASA TENGGARA,BELANG,BORGO,95997,
54638,KALIMANTAN TIMUR,KOTA BALIKPAPAN,BALIKPAPAN BARAT,MARGO MULYO,76131,
54639,NUSA TENGGARA TIMUR,KAB. KUPANG,KUPANG TIMUR,TUATUKA,85362,
54640,SULAWESI SELATAN,KAB. PANGKAJENE KEPULAUAN,LIUKANG KALMAS,KALUKUANG,90672,
54641,JAWA TIMUR,KAB. MAGETAN,KARTOHARJO,KLURAHAN,63394,
54642,NUSA TENGGARA BARAT,KOTA MATARAM,MATARAM,PUNIA,83131,
54643,BANTEN,KOTA CILEGON,JOMBANG,GEDONG DALEM,42413,
54644,JAWA BARAT,KAB. PURWAKARTA,WANAYASA,BABAKAN,41174,
54645,KALIMANTAN SELATAN,KAB. TABALONG,MUARA HARUS,MADANG,71555,
54646,PAPUA PEGUNUNGAN,KAB. TOLIKARA,BOKONDINI,UMAGA,99412,
54647,JAMBI,KAB. KERINCI,AIR HANGAT,SAWAHAN KOTO MAJIDIN,37161,
54648,JAWA TIMUR,KAB. BOJONEGORO,SUKOSEWU,PACING,62185,
54649,SUMATERA UTARA,KAB. KARO,BERASTAGI,GURUSINGA,22152,
54650,JAWA TIMUR,KAB. BOJONEGORO,SUKOSEWU,SUKOSEWU,62185,
54651,MALUKU UTARA,KAB. PULAU MOROTAI,MOROTAI UTARA,YAO,97772,
54652,JAWA BARAT,KAB. INDRAMAYU,ARAHAN,PRANGGONG,45259,
54653,JAWA BARAT,KAB. GARUT,LELES,LEMBANG,44152,
